"abertura";"tipo";"solicitacao";"descricao";"tipo_solicitacao";"origem";"situacao"
"2015-10-02";"Obra irregular";"Obra irregular esta sendo executada na rua Alziro Zarur n°554. Obra sem sem projeto, sem responsavel técnico, (projeto Arquitetônico) ";"Fragata                                                                                             ";"Denuncia";"Presencial";"Fechado"
"2015-10-05";"Entulho na calçada/ Via pública";"Fiscalização de roupas amontoadas e sujas ocorrendo acumulo de bichos no endereço; Rua 15, número 120, Bairro Dunas.";"Fragata                                                                                             ";"Reclamação";"Presencial";"Aberto"
"2015-10-05";"Pendência de exame ";"Pediu para fazer a mamografia em setembro no posto Jardim de Ala, se puder agilizar com a secretaria de saúde pois o caso é com urgência e grave.";"Três Vendas                                                                                         ";"Reclamação";"Presencial";"Fechado"
"2015-10-05";"Unidade Básica de Saúde";"Cidadão reivindica referente na UBS do Sitio Floresta, a mesma estar com um médico apenas para atender toda a comunidade. Salienta que são disponibilizadas apenas 16 fichas para a comunidade, número pequeno perante a comunidade de 6 mil habitantes. Ressalta que a mesma não possui iluminação pública na frente.";"Sítio Floresta                                                                                      ";"Reclamação";"Presencial";"Fechado"
"2015-10-05";"Condição sanitária irregular";"Fiscalização de roupas amontoadas e sujas ocorrendo acumulo de bichos no endereço; Rua 15, número 120, Bairro Dunas.";"Fragata                                                                                             ";"Reclamação";"Presencial";"Fechado"
"2015-10-06";"Entulho na calçada/ Via pública";"[ANÔNIMO]Cidadão reivindica referente no endereço; Rua Passeio 3, n°297, Ocupação Uruguai, Bairro: Centro, o proprietário efetuar acumulo de lixo em frente a residência.";"Fragata                                                                                             ";"Reclamação";"Presencial";"Fechado"
"2015-10-06";"Maus tratos a animais";"Cidadão reivindica referente no endereço; Rua Ruy Ramos, n°95, Bairro: Fragata, o proprietário efetuar a criação de um cavalo em condições precárias de higiene.  ";"Fragata                                                                                             ";"Reclamação";"Presencial";"Fechado"
"2015-10-06";"Maus tratos a animais";"Cidadã alega que no endereço; Rua São Jorge, n°135, Bairro: Santa Terezinha, o proprietário efetuar a criação de um cavalo em condições precárias de higiene. Salienta que, devido a essa ação, acaba exalando um cheiro insuportável. Proprietário JOSE DUARTE PUXE.";"";"Reclamação";"Presencial";"Fechado"
"2015-10-06";"Poda e Retirada de Árvore";"Poda de árvore no endereço; Rua Pinto Martins, n°846, Bairro: Centro. Obs Cidadão salienta que existem varias árvores no local que seus galhos estão disparando alarmes de residências.";"Centro                                                                                              ";"Solicitação de Serviço";"Presencial";"Fechado"
"2015-10-06";"Poda e Retirada de Árvore";"PODA DE ÁRVORE NO ENDEREÇO; RUA VEREADOR CELSO SELLAS, N°56, BAIRRO: TRÊS VENDAS. OBS PEDIDO JÁ FEITO ANTERIORMENTE SOB Nº DE PROTOCOLO 12289.";"";"Solicitação de Serviço";"Presencial";"Fechado"
"2015-10-06";"Poda e Retirada de Árvore";"PODA DE ARVORE NO ENDEREÇO; RUA BLAU NUNES,N°58, BAIRRO: AREAL. OBS SOLICITAÇÃO JA FEITA ANTERIORMENTE SOB N°12077.";"Areal                                                                                               ";"Solicitação de Serviço";"Presencial";"Fechado"
"2015-10-06";"Falta de rampa de acessibilidade";"cidadão cadeirante nao conseguiu entrar na calçado devido os carros estarem na calçada no passeio publico. av: ferreira viana 925 quintana Automevis. ";"Areal                                                                                               ";"Reclamação";"Presencial";"Fechado"
"2015-10-07";"Rua esburacada";"Cidadã alega que no endereço; Rua 4, Bairro; Lot. Barão de Mauá, a via encontra-se em estados precários visto ao excessivo n° de buracos que a mesma comporta.";"";"Solicitação de Serviço";"Presencial";"Fechado"
"2015-10-07";"Obra irregular";"Cidadão reivindica referente no endereço; Margem Canal São Gonçalo, n°200, Bairro: Porto, existir uma obra irregular, ressalta que esta obra está acontecendo em uma área de preservação ambiental.";"Fragata                                                                                             ";"Solicitação de Serviço";"Presencial";"Fechado"
"2015-10-07";"Obra irregular";"Cidadão reivindica referente no endereço; Rua Marechal Floriano, n°158, Bairro: Centro, (SUlPAR) existir um estabelecimento no qual possui a proteção do registro do sanep direcionada para calçada, originando uma saliência com o cadeado, isso acaba resultando em quedas de pessoas que passam por esta calçada.";"";"Reclamação";"Presencial";"Fechado"
"2015-10-07";"Estabelecimento sem alvará";" Cidadão alega que no endereço; Estrada da Colonia,  enfrente a comunidade Chicuta Oliveira, 8º Distrito, existir um comercio irregular no qual o responsável não paga nenhum tipo de imposto.";"Fragata                                                                                             ";"Denuncia";"Presencial";"Fechado"
"2015-10-08";"Poda e Retirada de Árvore";"Solicita a poda de uma árvore que diz estar imensa e atrapalhando os moradores da rua Frei Caneca, 1032 - Gotuzzo";"Fragata                                                                                             ";"Solicitação de Serviço";"Presencial";"Fechado"
"2015-10-08";"Entulho na calçada/ Via pública";"Solicita a retirada de entulhos no endereço; Av 25 de Julho, em frente ao condomínio terra nova. Obs Solicitação ja feita anteriormente.";"";"Solicitação de Serviço";"Presencial";"Fechado"
